video_id,title,view_count,duration_seconds
aePRCHAml_o,Regina Hall Pats Down Jason Momoa & Josh Brolin at the 94th #Oscars #shorts,22389550,35
RBOFErTk67w,Is Covid cool now?,423295,38
f8xQrUi5FEU,"Changes to COVID-19 vaccine policies 2 minutes, 36 seconds",,156
ACSZNeLoSdE,"How can a blood test detect COVID, AIDS, or Lyme disease?",595,58
NWrNtr5T9Pk,"10 Time Machine: Five years ago, President Donald Trump tested positive for COVID-19",1237,108
pXbWZnaiglM,"Italian Restaurant Date - SNL 3 minutes, 13 seconds",,193
jN3UeUWNbRs,"AGGRESSIVE, INFECTED MONKEYS ON THE RUN? 🐒💥",6832,35
nwZhj-CbsWQ,Did the COVID Crisis Bring People Back to GOD?,129,45
QWd9sIbrMIY,Colorado Governor receives  COVID-19 and flu shots,606,29
zDPLQNh8eUg,Burnt Orange Peel cures COVID taste erase,297,60
RQMasmPApzQ,Why do you need a prescription for a COVID-19 shot in North Carolina? | VERIFY,1993,59
Hj7QZw8x0O4,Big moments from the NYC mayoral debate,148307,90
mi3ugHvlX60,"COVID + flu combo at home test now available 1 minute, 22 seconds",,82
cQ3jwffRn10,"Medication Ad - SNL 2 minutes, 7 seconds",,127
Hc0J8PIBW2g,RFK Jr. contradicts his past false statements and himself,10585,75
clLcW9O3Lco,Justice League wasn't for kids!,1013168,112
QUFY1GZ-_gU,What if fungal dianostics became as accessible as covid tests?,217,50
VMxuz1IQXWI,He left his wife during LABOR to go to a work meeting...,176445,81
IiEjzC9fNBQ,Recall of yellow and white peaches sold in Hawaii for potential Listeria contamination 31 seconds,,31
MazCdAr6s04,"WrestleMania 42 promo | Triple H, Cody Rhodes, Roman Reigns, CM Punk, Brock Lesnar & Paul Heyman 1 minute, 2 seconds",,62
